titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
"TORRES DEL PARQUE CONJUNTO CERRADO, Apartamentos en Venta en Ciudadela del rio, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/torres-del-parque-conjunto-cerrado-apartamentos-en-venta-en-ciudadela-del-rio-cali/7207846,163104500,3,1,44.62,cali
"MONTEBONITO ALTO, Apartamento en Venta en Ub. montebonito et. ii, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/montebonito-alto-apartamentos-en-venta-en-ub-montebonito-et-ii-dosquebradas/15016885,252300000,3,2,50.91,dosquebradas
"Palmaire Condominio y Club, Casa Campestre en Venta en Buenos aires, San gil",https://www.fincaraiz.com.co/proyectos-vivienda/palmaire-condominio-y-club-casas-campestres-y-lotes-en-venta-san-gil/10842490,195888000,0,0,890.4,san gil
"VERDANT, Apartamentos en Venta en El limonar, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/verdant-apartamentos-en-venta-en-el-limonar-cali/15016865,553070000,2,2,62.3,cali
"Ciudad La Salle Saint Michel, Apartamentos en Venta en Toberin, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-la-salle-saint-michel-apartamentos-en-venta-en-toberin-bogota/15017173,464697000,2,2,53.02,bogotá
"DIAMANTE CAMPESTRE, Apartamentos en Venta en Diamante 2, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/diamante-campestre-apartamentos-en-venta-en-diamante-2-bucaramanga/10320718,375000000,2,2,63.58,bucaramanga
"ALTAVIA, Apartamento en Venta en Nueva tequendama, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/altavia-apartamentos-en-venta-en-nueva-tequendama-cali/15017258,419194660,1,1,39,cali
"ROSSÉ APARTAMENTOS, Apartamento en Venta en Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/rosse-apartamentos-apartamentos-en-venta-en-cajica/15017467,310044931,3,2,60,cajicá
"AMARA, Apartamentos en Venta en San pascual, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/amara-apartamentos-en-venta-en-san-pascual-cali/15016939,236900000,2,2,55.34,cali
"Baikal, Apartamentos en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/baikal-apartamentos-en-venta-en-valle-del-lili-cali/5085991,475690000,2,2,80.16,cali
"LA VIDA ES BELLA GRATITUD, Apartamentos en Venta en Machado, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/la-vida-es-bella-gratitud-apartamentos-en-venta-en-machado-bello/7428695,342086560,3,2,72.18,bello
"TORRES DE TOSCANA, Apartamento en Venta en Villasol parque residencial, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-toscana-apartamentos-en-venta-en-belmonte-a-pereira/3756160,418684644,2,2,58.63,pereira
"TIERRALINDA DEL BOSQUE, Apartamento en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-bosque-apartamentos-en-venta-en-villa-fatima-cali/15017069,235595700,2,1,55.44,cali
"FLORA CLUB HOUSE, Apartamentos en Venta en Conucos, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/flora-club-house-apartamentos-en-venta-en-conucos-bucaramanga/5568081,373000000,1,2,60,bucaramanga
"L UNIQUE APARTAMENTOS, Apartamentos en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/l-unique-apartamentos-apartamentos-en-venta-en-riomar-barranquilla/10054988,2932849000,3,4,270,barranquilla
"CONJUNTO RESIDENCIAL SAN LORENZO, Apartamentos en Venta en El poblado i, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/conjunto-residencial-san-lorenzo-apartamentos-en-venta-en-el-poblado-i-cali/10049424,185797300,3,1,44.62,cali
"LOS CÁMBULOS, Apartamento en Venta en Calasanz parte alta, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/los-cambulos-apartamentos-en-venta-en-calasanz-parte-alta-medellin/15017517,295600000,1,1,36.8,medellín
"SOLE, Apartamentos en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/sole-apartamentos-en-venta-en-lagos-de-torca-bogota/15017297,680597400,3,2,86.59,bogotá
"VALLE ALTO DE LA PRADERA, Lote en Venta en La calera",https://www.fincaraiz.com.co/proyectos-vivienda/valle-alto-de-la-pradera-lotes-en-venta-en-la-calera/15017468,621600000,0,0,1960,la calera
"MOKARA, Apartamentos en Venta en El carmelo, Sabaneta",https://www.fincaraiz.com.co/proyectos-vivienda/mokara-apartamentos-en-venta-en-el-carmelo-sabaneta/7160378,630100000,3,3,85.86,sabaneta
"ALTOS DE DIAMANTE, Apartamento en Venta en Diamante 2, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-diamante-apartamentos-en-venta-en-diamante-2-bucaramanga/10320727,393000000,2,2,70.28,bucaramanga
"TIERRALINDA DEL SAMAN, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-saman-apartamentos-en-venta-en-tierralinda-cali/7820025,577808937,3,3,103.42,cali
"URBAN 17-40, Apartamento en Venta en El rubi et i, Mosquera",https://www.fincaraiz.com.co/proyectos-vivienda/urban-1740-apartamentos-en-venta-en-el-rubi-et-i-mosquera/15016760,210000000,3,2,56.6,mosquera
"VITA, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/vita-apartamentos-en-venta-en-ibague/15017084,138364200,2,1,43.1,ibagué
"CATARA, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/catara-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/15017356,192172500,2,2,55.6,barranquilla
"Nativo Terra, Casa en Venta en Arenal, Candelaria",https://www.fincaraiz.com.co/proyectos-vivienda/nativo-terra-casas-en-venta-en-arenal-candelaria/15017489,220225415,3,2,49.68,candelaria
"TIERRALINDA DEL VALLE, Apartamentos en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-valle-apartamentos-en-venta-en-villa-fatima-cali/15017067,360548000,2,2,73.27,cali
"QANVAS, Apartamento en Venta en Las villas, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/qanvas-apartamentos-en-venta-en-las-villas-zipaquira/10092791,313329000,3,2,72.89,zipaquirá
"PRADERA HACIENDA CAMPESTRE, Apartamento en Venta en La pradera, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/pradera-hacienda-campestre-apartamentos-en-venta-en-la-pradera-dosquebradas/2728601,949900000,2,3,140,dosquebradas
"LOS BOSQUES, Apartamento en Venta en Cascajal, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/los-bosques-apartamentos-en-venta-en-cascajal-cali/10385373,336031194,1,1,45.1,cali
"RIO, Apartamento en Venta en Camino Verde, Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/rio-apartamentos-en-venta-en-camino-verde-envigado/7040364,653443000,3,2,87.91,envigado
