titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
"URBANIA BIO, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/urbania-bio-apartamentos-en-venta-en-fontibon-bogota/6596924,193140000,2,1,44.55,bogotá
"San Simón La Quinta, Apartamento en Venta en Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/san-simon-la-quinta-apartamentos-en-venta-en-zipaquira/7872783,317314000,3,2,72.88,zipaquirá
"MONTECIELO APARTAMENTOS VIP, Apartamento en Venta en Cr. caminos del bosque, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/montecielo-apartamentos-vip-apartamentos-en-venta-en-manantiales-i-armenia/15017539,150000000,2,1,41,armenia
"ESKALA, Apartamentos en Venta en Puente aranda, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/eskala-apartamentos-en-venta-en-puente-aranda-bogota/10729226,272600000,2,2,44.63,bogotá
"LAGOS DE IRAKA SUITES, Apartamento en Venta en Vía El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/lagos-de-iraka-suites-apartamentos-en-venta-en-via-el-caimo-armenia/1000257,791711900,2,3,100.09,armenia
"Ciudad del Parque El Cocuy, Apartamentos en Venta en Siete de abril, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-el-cocuy-apartamentos-en-venta-en-siete-de-abril-barranquilla/15017213,117726000,1,2,38.4,barranquilla
"MARAWA, Apartamento en Venta en Bello horizonte, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/marawa-apartamentos-en-venta-en-bello-horizonte-santa-marta/10463767,1710840000,3,3,132.5,santa marta
"PRIMAVERA, Apartamentos en Venta en Campo verde, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/primavera-apartamentos-en-venta-en-campo-verde-bogota/7425177,208600000,3,2,54.9,bogotá
"DONAMA, Apartamento en Venta en Rodadero y Gaira, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/donama-apartamentos-en-venta-en-rodadero-sur-santa-marta/6944490,889947816,2,3,80.5,santa marta
"ALCANTARA CONDOMINIO, Apartamentos en Venta en Aldea alta, Girón",https://www.fincaraiz.com.co/proyectos-vivienda/alcantara-condominio-apartamentos-en-venta-en-aldea-alta-giron/6834599,147521998,1,1,30.8,girón
"PUERTO REAL LOCALES, Apartamento en Venta en Paraiso, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerto-real-locales-apartamentos-en-venta-en-paraiso-barranquilla/7441354,172000000,0,1,42.42,barranquilla
"PASEO DEL PARQUE, Apartamentos en Venta en Ricaurte, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/paseo-del-parque-apartamentos-en-venta-en-ricaurte-bogota/6903734,263000000,2,1,42,bogotá
"Puerta Dorada Coralina, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-coralina-apartamentos-en-venta-en-miramar-barranquilla/15017216,182000000,2,2,55.66,barranquilla
"Ciudad del Parque Los Flamencos, Apartamentos en Venta en Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-los-flamencos-apartamentos-en-venta-en-soledad/15017224,197316000,1,2,42.38,soledad
"CANTARES DE RIACHUELOS, Apartamentos en Venta en Carmelo, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/cantares-de-riachuelos-apartamentos-en-venta-en-carmelo-bello/15017513,313635000,3,2,65,bello
"CORALINA SUNSET, Apartamentos en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/coralina-sunset-apartamentos-en-venta-en-pozos-colorados-santa-marta/10211835,334800000,1,2,46.49,santa marta
"FLORA, Apartamento en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/flora-apartamentos-en-venta-en-el-poblado-i-etapa-pereira/15017091,221297000,1,1,37.3,pereira
"RESERVA DE CAJICA, Apartamento en Venta en Chuntame, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-cajica-apartamentos-en-venta-en-chuntame-cajica/5441166,263499900,3,2,56,cajicá
"OLIUM PARK HOME & LOFTS, Apartamento en Venta en Calasanz, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/olium-park-home-lofts-apartamentos-en-venta-en-calasanz-medellin/15017500,362000000,1,1,30,medellín
"Menta Apartamentos, Apartamento en Venta en Las Lomitas, Sabaneta",https://www.fincaraiz.com.co/proyectos-vivienda/menta-apartamentos-apartamentos-en-venta-en-las-lomitas-sabaneta/5399310,556348152,2,2,65.4,sabaneta
"CARIBBEAN BEACH RESORT, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/caribbean-beach-resort-apartamentos-en-venta-en-pozos-colorados-santa-marta/15017451,476701000,1,1,35.79,santa marta
"Puerta Dorada Marisma, Apartamentos en Venta en Comuna 1, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-marisma-apartamentos-en-venta-en-comuna-1-barranquilla/15017209,215148000,1,2,40.74,barranquilla
"RESERVA DE GRANADA 6, Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-granada-6-apartamentos-en-venta-en-engativa-bogota/6914894,504000000,3,2,81,bogotá
"MATECAÑA SUITES, Apartaestudio en Venta en Avenida 30 de agosto, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/matecaña-suites-apartaestudios-en-venta-en-avenida-30-de-agosto-pereira/15017110,199974000,1,1,27.78,pereira
"COUNTRY RESERVADO, Apartamento en Venta en Los cardonales, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/country-reservado-apartamentos-en-venta-en-los-cardonales-santa-marta/10170071,291990000,2,2,51,santa marta
"CEDRO, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cedro-apartamentos-en-venta-en-lagos-de-torca-bogota/6516084,635000000,3,2,79,bogotá
"Ciudad del Parque Salamanca, Apartamento en Venta en El manantial, Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-salamanca-apartamentos-en-venta-en-soledad/15017222,174200000,2,2,52.07,soledad
"CANTABRIA, Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cantabria-apartamentos-en-venta-en-engativa-bogota/4812717,620000000,2,2,72,bogotá
"CAPRI I, Apartamentos en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/capri-i-apartamentos-en-venta-en-providencia-cartagena/7784280,162955000,2,1,43,cartagena
"ACANTO, Apartamentos en Venta en San Bernardino xxii, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/acanto-apartamentos-en-venta-en-san-bernardino-xxii-bogota/15017155,229310000,3,2,50.6,bogotá
"PASOLLANO 5, Apartamento en Venta en Siberia, San martin",https://www.fincaraiz.com.co/proyectos-vivienda/pasollano-5-apartamentos-en-venta-en-cr-gratamira-villavicencio/7815615,192200000,2,1,50,san martin
"VERDI, Apartamento en Venta en Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/verdi-apartamentos-en-venta-en-zipaquira/15017039,236300000,3,2,52.8,zipaquirá
"MIRAMONTE, Apartamento en Venta en Monserrate, Santa rosa de cabal",https://www.fincaraiz.com.co/proyectos-vivienda/miramonte-apartamentos-en-venta-en-santa-rosa-de-cabal/10644425,312590000,2,2,68,no especifica
"HACIENDA PEÑALISA GUADUA, Apartamento en Venta en Las Palmas, Ricaurte",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-peñalisa-guadua-apartamentos-en-venta-en-las-palmas-ricaurte/2149130,276000000,2,2,60,ricaurte
"La Cruz, Apartamentos en Venta en Porvenir, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-cruz-apartamentos-en-venta-en-porvenir-bogota/15017177,128115000,1,1,47.2,bogotá
"TORRE 11 APARTAMENTOS, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/torre-11-apartamentos-apartamentos-en-venta-en-la-castellana-armenia/10341199,175200000,1,1,35.04,armenia
"Venta de casa, Casas en Venta en Los laureles, Manizales",https://www.fincaraiz.com.co/proyectos-vivienda/venta-de-casa-casas-en-venta-en-los-laureles-manizales/15016609,680000000,3,3,143,manizales
"Burgos Castilla Reservado, Apartamentos en Venta en El tintal, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/burgos-castilla-reservado-apartamentos-en-venta-en-el-tintal-bogota/3788692,348098000,2,2,51.93,bogotá
"SAMAN, Apartamentos en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/saman-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345713,623000000,1,2,56,medellín
"VALLE DE VADUZ CONDOMINIO, Lote en Venta en Guayanas, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/valle-de-vaduz-condominio-lotes-en-venta-en-guayanas-floridablanca/6510413,789184000,0,0,896.8,floridablanca
"CIUDAD SAN JUAN, Lotes en Venta en Girón, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-san-juan-lotes-en-venta-en-giron-bucaramanga/15017424,94900000,0,0,54,bucaramanga
"CANNES, Casas en Venta en Niza, Cúcuta",https://www.fincaraiz.com.co/proyectos-vivienda/cannes-casas-en-venta-en-niza-cucuta/15017406,518000000,3,3,103.58,cúcuta
"GINGER, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/ginger-apartamentos-en-venta-en-providencia-cartagena/6914914,340000000,2,2,77,cartagena
"PUERTA DEL SOL, Apartamentos en Venta en Cartagenita, Mosquera",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-del-sol-apartamentos-en-venta-en-cartagenita-mosquera/4592240,442929375,3,2,92.68,mosquera
"PROVENZA IMPERIAL, Apartamento en Venta en Lagos de Cordoba, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/provenza-imperial-apartamentos-en-venta-en-lagos-de-cordoba-bogota/15017161,1866538000,3,5,167.94,bogotá
"SALINAS 2, Apartamento en Venta en La paz, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/salinas-2-apartamentos-en-venta-en-cr-los-cedros-zipaquira/6135015,185055000,3,2,53.5,zipaquirá
"RIVERAS DEL OTÚN CONJUNTO RESIDENCIAL, Apartamento en Venta en La badea, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/riveras-del-otun-conjunto-residencial-apartamentos-en-venta-en-pedregales-dosquebradas/6649610,128115000,1,1,29.35,dosquebradas
"C2-65, Apartaestudio en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/c265-apartaestudios-en-venta-en-chapinero-bogota/15017263,334435000,1,1,31.7,bogotá
"TORRE ESTACIÓN, Apartamentos en Venta en San victorino, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/torre-estacion-apartamentos-en-venta-en-san-victorino-bogota/4537129,372300000,2,2,64.71,bogotá
"PASEO DE SEVILLA, Apartamento en Venta en El tintal, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/paseo-de-sevilla-apartamentos-en-venta-en-nueva-castilla-bogota/5311768,405103000,3,3,67.41,bogotá
"Paseo San Rafael, Apartamento en Venta en Hacienda la quinta ii, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/paseo-san-rafael-apartamentos-en-venta-en-zipaquira/15017190,230600000,1,2,43.54,zipaquirá
"ZEFIRO, Apartamentos en Venta en Novaterra, Mosquera",https://www.fincaraiz.com.co/proyectos-vivienda/zefiro-apartamentos-en-venta-en-novaterra-mosquera/6969701,193140000,2,1,42.3,mosquera
"CONDOMINIO GREEN PARK, Casas en Venta en Restrepo",https://www.fincaraiz.com.co/proyectos-vivienda/condominio-green-park-casas-en-venta-en-restrepo/10668657,599900000,2,3,107.46,restrepo
"ALTOS DEL PARQUE, Apartamento en Venta en Villa carolina, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/altos-del-parque-apartamentos-en-venta-en-villa-carolina-barranquilla/10388671,466170000,3,2,85.97,barranquilla
"CABO ALTO, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/cabo-alto-apartamentos-en-venta-en-providencia-cartagena/7277073,202137000,2,1,58,cartagena
"NOGAL, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nogal-apartamentos-en-venta-en-lagos-de-torca-bogota/5438244,678700000,3,3,113,bogotá
"VIVOPARK, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/vivopark-apartamentos-en-venta-en-fontibon-bogota/10481109,227290000,1,1,44.32,bogotá
"PRADO VERDE 2, Apartamentos en Venta en Cr gratamira, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/prado-verde-2-apartamentos-en-venta-en-cr-gratamira-villavicencio/10218845,346653000,2,2,59,villavicencio
"Costanera, Apartamentos en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/costanera-apartamentos-en-venta-en-miramar-barranquilla/15016929,1736219000,3,3,148.14,barranquilla
"INIZZIA, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/inizzia-apartamentos-en-venta-en-lagos-de-torca-bogota/15017477,210956459,1,1,26.1,bogotá
"Ciudad Tierrabuena Terracota, Apartamento en Venta en Guatiguara, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-tierrabuena-terracota-apartamentos-en-venta-en-guatiguara-piedecuesta/15017199,230600000,2,2,55.05,piedecuesta
"MEDITERRANEA TOWERS, Apartamento en Venta en La Boquilla, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/mediterranea-towers-apartamentos-en-venta-en-cielo-mar-cartagena/4942862,579025000,2,2,83,cartagena
"PORTAL DE LOS CEREZOS, Apartamento en Venta en Rincon de santafe, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/portal-de-los-cerezos-apartamentos-en-venta-en-rincon-de-santafe-soacha/10149467,189000000,3,1,57.9,soacha
"EL ALBA EN MALLORQUIN, Apartamentos en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/el-alba-en-mallorquin-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/7055808,181000000,2,2,58,barranquilla
"IBIS, Apartamento en Venta en Alameda del Rio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/ibis-apartamentos-en-venta-en-alameda-del-rio-barranquilla/15016715,234000000,2,1,50,barranquilla
"PARKSIDE, Apartamentos en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/parkside-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/15017207,683331000,3,2,81.66,barranquilla
"SEROA, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/seroa-apartamentos-en-venta-en-avenida-centenario-armenia/15017450,240000000,1,1,36.98,armenia
"AXIS, Apartamentos en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/axis-apartamentos-en-venta-en-cerritos-pereira/15017410,570000000,2,2,76.43,pereira
"Riverblue, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/riverblue-apartamentos-en-venta-en-riomar-barranquilla/10565926,230600000,2,2,51.59,barranquilla
"SALAMANCA LA NUEVA VIS, Casa en Venta en Cuisinde, Palermo",https://www.fincaraiz.com.co/proyectos-vivienda/salamanca-la-nueva-vis-casas-en-venta-en-neiva/10808917,192172500,3,2,108,palermo
"CORTIJO RESERVADO, Casa Campestre en Venta en Carmen de Apicalá",https://www.fincaraiz.com.co/proyectos-vivienda/cortijo-reservado-casas-campestres-en-venta-en-charcon-carmen-de-apicala/6536906,434429500,3,3,129.13,carmen de apicalá
"FLORECER, Apartamento en Venta en San Bernardino xxii, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/florecer-apartamentos-en-venta-en-san-bernardino-xxii-bogota/7926017,184900000,3,1,42.56,bogotá
"CRISTALES WEST ETAPA 2, Apartamentos en Venta en Altos de santa isabel, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/cristales-west-etapa-2-apartamentos-en-venta-en-altos-de-santa-isabel-cali/3242869,643749509,2,2,72.25,cali
"PALLADIO, Apartamentos en Venta en Pie de popa toril, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/palladio-apartamentos-en-venta-en-pie-de-popa-toril-cartagena/5438485,515000000,1,2,73,cartagena
"ZERMATT, Apartamentos en Venta en Bosques del Marques, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/zermatt-apartamentos-en-venta-en-bosques-del-marques-bogota/10054872,750000000,1,2,62,bogotá
"Ciudad del Parque Bari, Apartamentos en Venta en Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-bari-apartamentos-en-venta-en-soledad/15017221,140880000,1,2,37.81,soledad
"URBANIA TERRA, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/urbania-terra-apartamentos-en-venta-en-fontibon-bogota/15017038,249820000,3,2,45.42,bogotá
"BALUARTE DEL CARIBE, Apartamento en Venta en Daniel lemaitre, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/baluarte-del-caribe-apartamentos-en-venta-en-daniel-lemaitre-cartagena/4682857,300000000,2,2,58.5,cartagena
"CEDRO, Apartamentos en Venta en Novaterra, Mosquera",https://www.fincaraiz.com.co/proyectos-vivienda/cedro-apartamentos-en-venta-en-novaterra-mosquera/6596860,286534500,3,2,57.34,mosquera
"POZO GRANDE, Apartamento en Venta en CONJUNTO RESIDENCIAL EL NOGAL, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/pozo-grande-apartamentos-en-venta-en-ub-sierradentro-reservado-santa-marta/6765347,208500000,3,2,63.24,santa marta
"PORTALES DE GRANADA, Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/portales-de-granada-apartamentos-en-venta-en-engativa-bogota/10190283,500000000,3,2,88,bogotá
"Baviera, Apartamentos en Venta en Prados de la Sabana, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/baviera-apartamentos-en-venta-en-prados-de-la-sabana-bogota/15017164,658095000,3,2,65.57,bogotá
"El Jardín Camelia, Apartamentos en Venta en La esperanza, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/el-jardin-camelia-apartamentos-en-venta-en-la-esperanza-cartagena/15017163,182922000,2,1,53.89,cartagena
"FIORENTTI, Apartamento en Venta en Ternera, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/fiorentti-apartamentos-en-venta-en-ternera-cartagena/10656397,454945000,3,2,84.67,cartagena
"El Jardín Laurel, Apartamentos en Venta en La esperanza, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/el-jardin-laurel-apartamentos-en-venta-en-la-esperanza-cartagena/15017168,213525000,2,2,63.15,cartagena
"Terraza de Miraflores, Apartamento en Venta en Centro, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/terraza-de-miraflores-apartamentos-en-venta-en-piedecuesta/2393475,195000000,2,2,51.02,piedecuesta
"PARQUE CENTRAL DE OCCIDENTE 3, Apartamentos en Venta en Gran granada, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/parque-central-de-occidente-3-apartamentos-en-venta-en-gran-granada-bogota/2485983,403499000,3,2,63.5,bogotá
"VENTTO CENTRAL, Apartamento en Venta en Belalcazar, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/ventto-central-apartamentos-en-venta-en-belalcazar-bogota/15017544,584000000,2,2,61.01,bogotá
"Portal de La Loma, Apartamentos en Venta en Portanova, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/portal-de-la-loma-apartamentos-en-venta-en-portanova-piedecuesta/15017172,286047000,3,2,65.37,piedecuesta
"ALICANTE, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/alicante-apartamentos-en-venta-en-lagos-de-torca-bogota/10230770,225303000,2,1,44,bogotá
"CADIZ, Apartamentos en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cadiz-apartamentos-en-venta-en-nueva-castilla-bogota/10079868,230600000,1,1,37.26,bogotá
"PUNTALTA ALTARENA, Apartamento en Venta en Nuevo bosque, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/puntalta-altarena-apartamentos-en-venta-en-el-campestre-cartagena/10389425,325615000,2,2,59.71,cartagena
"CADIZ, Apartamentos en Venta en Los mayales, Valledupar",https://www.fincaraiz.com.co/proyectos-vivienda/cadiz-apartamentos-en-venta-en-los-mayales-valledupar/15016980,206720000,2,1,57,valledupar
"SERRANIA DE LOS NOGALES, Apartamento en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/serrania-de-los-nogales-apartamentos-en-venta-en-chapinero-bogota/6513715,3753300000,3,4,281,bogotá
"EL CAIRO RESERVA CAMPESTRE, Casa en Venta en El cairo reserva campestre, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/el-cairo-reserva-campestre-casas-en-venta-en-el-cairo-reserva-campestre-pereira/15017529,1230000000,3,4,282,pereira
"MIRADOR DEL EDÉN, Apartamentos en Venta en Calarcá",https://www.fincaraiz.com.co/proyectos-vivienda/mirador-del-eden-apartamentos-en-venta-en-calarca/10420915,596598153,3,3,118.67,calarcá
"BOSQUES DEL HATO, Apartamento en Venta en Ruitoque, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/bosques-del-hato-apartamentos-en-venta-en-guatiguara-piedecuesta/1486413,389705000,3,2,75.4,piedecuesta
"Vizcaya Castilla Reservado, Apartamento en Venta en Tintala, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/vizcaya-castilla-reservado-apartamentos-en-venta-en-nueva-castilla-bogota/10079953,213520000,2,1,43.25,bogotá
"San Lucas La Quinta, Apartamento en Venta en Algarra iii, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/san-lucas-la-quinta-apartamentos-en-venta-en-zipaquira/15017187,230600000,2,2,51.09,zipaquirá
"Puerta Dorada Cristalina, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-cristalina-apartamentos-en-venta-en-miramar-barranquilla/15017217,213525000,2,2,57.71,barranquilla
"Zajarí Zentral, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/zajari-zentral-apartamentos-en-venta-en-fontibon-bogota/15017185,464774000,2,2,56.67,bogotá
"Reserva de Cataluña, Apartamentos en Venta en El tejar, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-cataluña-apartamentos-en-venta-en-el-tejar-bucaramanga/4038423,1331523000,4,5,160.2,bucaramanga
"PASOLLANO 4, Apartamentos en Venta en Cr gratamira, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/pasollano-4-apartamentos-en-venta-en-cr-gratamira-villavicencio/7156066,192200000,2,1,52,villavicencio
Villas de Balboa,https://www.fincaraiz.com.co/proyectos-vivienda/villas-de-balboa-casas-en-venta-en-pradomar-puerto-colombia/15017149,745000000,3,3,127.7,no especifica
"RIVERA DEL VALLE, Apartamentos en Venta en Calahorra, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/rivera-del-valle-apartamentos-en-venta-en-calahorra-cajica/6297552,305000000,2,2,56,cajicá
"Ciudad del Parque Nukak, Apartamento en Venta en El manantial, Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-nukak-apartamentos-en-venta-en-el-manantial-soledad/15017220,127400000,1,2,37.81,soledad
"Fresno, Apartamento en Venta en Ciudad verde, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/fresno-apartamentos-en-venta-en-ciudad-verde-soacha/15017188,195000000,2,2,62.4,soacha
"PASOLLANO 3, Apartamentos en Venta en Cr gratamira, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/pasollano-3-apartamentos-en-venta-en-cr-gratamira-villavicencio/6513846,192200000,2,1,52,villavicencio
"Jardín Imperial, Apartamentos en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/jardin-imperial-apartamentos-en-venta-en-providencia-cartagena/7766199,228914000,2,2,60.69,cartagena
"Ciudad La Salle Loira, Apartamento en Venta en Toberin, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-la-salle-loira-apartamentos-en-venta-en-toberin-bogota/15017171,230600000,1,1,30.6,bogotá
"COLINAS DEL PARAISO, Casa en Venta en Caicedonia",https://www.fincaraiz.com.co/proyectos-vivienda/colinas-del-paraiso-casas-en-venta-en-caicedonia/15017087,467130000,1,1,85.2,caicedonia
"NIZA, Apartamentos en Venta en Los mayales, Valledupar",https://www.fincaraiz.com.co/proyectos-vivienda/niza-apartamentos-en-venta-en-los-mayales-valledupar/6731812,192172500,2,1,57,valledupar
"Bellfort, Apartamentos en Venta en Villa piedra del sol, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/bellfort-apartamentos-en-venta-en-villa-piedra-del-sol-floridablanca/1881289,424762000,3,2,75.69,floridablanca
"MAGNOLIO, Apartamento en Venta en Zona franca de occidente, Madrid",https://www.fincaraiz.com.co/proyectos-vivienda/magnolio-apartamentos-en-venta-en-zona-franca-de-occidente-madrid/7299862,213525000,2,1,52,madrid
"NOGAL DE LAS AMERICAS, Casas en Venta en Américas, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/nogal-de-las-americas-casas-en-venta-en-americas-armenia/10122297,430000000,3,3,96.5,armenia
"Puntalta Altofaro, Apartamentos en Venta en El golf, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/puntalta-altofaro-apartamentos-en-venta-en-el-golf-cartagena/15017174,345681000,2,2,63.05,cartagena
"BALI, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/bali-apartamentos-en-venta-en-providencia-cartagena/10147006,187752500,2,1,51,cartagena
"FERRATORE APARTAMENTOS, Apartamento en Venta en La Tablaza, La estrella",https://www.fincaraiz.com.co/proyectos-vivienda/ferratore-apartamentos-apartamentos-en-venta-en-la-tablaza-la-estrella/7947213,228500000,2,2,50,la estrella
"LA TERRA ALSACIA RESERVADO, Apartamento en Venta en Ciudad alsacia, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-terra-alsacia-reservado-apartamentos-en-venta-en-ciudad-alsacia-bogota/5311305,608185000,3,2,78.35,bogotá
"TENERIFE, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/tenerife-apartamentos-en-venta-en-providencia-cartagena/15017275,255500000,2,1,58,cartagena
"Belaterra Tempus, Apartamentos en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/belaterra-tempus-apartamentos-en-venta-en-valle-del-lili-cali/15017154,230600000,2,2,52.93,cali
"COUNTRY LIVING, Apartamento en Venta en Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/country-living-apartamentos-en-venta-en-floridablanca/5316745,452065000,3,2,70.88,floridablanca
"VIVARIUM CONJUNTO RESIDENCIAL, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/vivarium-conjunto-residencial-apartamentos-en-venta-en-avenida-centenario-armenia/6727636,576000000,3,2,94.61,armenia
