,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
233,"LA SCALA, Apartamento en Venta en San jose de bavaria, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-scala-apartamentos-en-venta-en-san-jose-de-bavaria-bogota/10566025,598229000,3,2,66.2,bogotá,Orinoquía
234,"PRADOS DEL NARANJO, Apartamento en Venta en Prados del norte, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/prados-del-naranjo-apartamentos-en-venta-en-prados-del-norte-cali/5451766,375000000,2,2,67,cali,Amazonía
235,"ALCALA GRAN RESERVA, Apartamento en Venta en Comuna 16 - lagos del cacique, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/alcala-gran-reserva-apartamentos-en-venta-en-comuna-16-lagos-del-cacique-bucaramanga/15016657,1145601000,3,4,122.37,bucaramanga,Andina
236,"Tribeca, Apartamento en Venta en Santa Anita, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tribeca-apartamentos-en-venta-en-santa-anita-cali/5992559,249112500,2,1,44.41,cali,Amazonía
237,"EL ROBLE, Apartamento en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-roble-apartamentos-en-venta-en-la-felicidad-bogota/15017286,540203700,2,2,59.35,bogotá,Orinoquía
238,"TOLEDANA DEL SUR, Apartamento en Venta en Yarumito, La estrella",https://www.fincaraiz.com.co/proyectos-vivienda/toledana-del-sur-apartamentos-en-venta-en-suramerica-la-estrella/15016688,706694000,3,2,93.29,la estrella,desconocido
239,"ZUE RUBI, Apartamento en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-rubi-apartamentos-en-venta-en-soacha/15017449,220000000,3,2,65,soacha,desconocido
240,"TIERRALINDA DE LA PRADERA, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-la-pradera-apartamentos-en-venta-en-tierralinda-cali/6836856,327325883,3,2,68.66,cali,Amazonía
241,"CITYCENTER, Apartamento en Venta en La victoria, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/citycenter-apartamentos-en-venta-en-la-victoria-bucaramanga/2395253,467034000,2,2,55.35,bucaramanga,Andina
242,"PORTUS 352, Apartamento en Venta en Ciudad los alamos, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/portus-352-apartamentos-en-venta-en-ciudad-los-alamos-cali/3633056,640300000,3,2,87,cali,Amazonía
243,"PUNTALTA ALTAGRACIA, Apartamento en Venta en Ceballos, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/puntalta-altagracia-apartamentos-en-venta-en-ceballos-cartagena/7883906,316469000,1,2,54.1,cartagena,Caribe
244,"Lúmina, Apartamento en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/lumina-apartamentos-en-venta-en-pance-cali/15017502,249538000,1,1,28.7,cali,Amazonía
245,"MAUI, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/maui-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/15017053,181000000,2,2,57.34,barranquilla,Caribe
246,"SAKURA, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/sakura-apartamentos-en-venta-en-bochalema-cali/10721485,508727541,2,2,84.59,cali,Amazonía
247,"EL CAIRO RESERVA CAMPESTRE, Casa en Venta en El cairo reserva campestre, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/el-cairo-reserva-campestre-casas-en-venta-en-el-cairo-reserva-campestre-pereira/15017529,1230000000,3,4,282,pereira,Andina
248,"CERROS DE SANTA MARIA, Apartamento en Venta en Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/cerros-de-santa-maria-apartamentos-en-venta-en-floridablanca/15016899,431018000,2,2,77.72,floridablanca,desconocido
249,"BAIKAL, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/baikal-apartamentos-en-venta-en-valle-del-lili-cali/5085991,475690000,2,2,80.16,cali,Amazonía
250,"BRASSIKA CLUB LIVING, Apartamento en Venta en Comuna 3, Palmira",https://www.fincaraiz.com.co/proyectos-vivienda/brassika-club-living-apartamentos-en-venta-en-santa-ana-palmira/7205118,321050803,2,2,67.32,palmira,desconocido
251,Casa en venta,https://www.fincaraiz.com.co/proyectos-vivienda/reverdecer-apartamentos-en-venta-en-la-calera/5641433,646000000,3,3,105.9,venta,desconocido
252,"Parma, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/parma-apartamentos-en-venta-en-providencia-cartagena/15017175,213525000,2,2,66.72,cartagena,Caribe
253,"CLARO VERDE, Casa en Venta en Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/claro-verde-casas-en-venta-en-jamundi/15017326,149721595,2,1,41.03,jamundí,desconocido
254,"Lila, Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/lila-apartamentos-en-venta-en-valle-del-lili-cali/15017487,249535991,2,1,49.57,cali,Amazonía
255,"TUCANES DEL CASTILLO, Casa en Venta en El Castillo, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/tucanes-del-castillo-casas-en-venta-en-el-castillo-jamundi/15017407,563500000,3,3,134.58,jamundí,desconocido
256,"ROMERO, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/romero-apartamentos-en-venta-en-sur-cali/7188573,486856063,3,2,90.57,cali,Amazonía
257,"LA RESERVA, Apartamento en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-reserva-apartamentos-en-venta-en-la-felicidad-bogota/15017289,2146127400,4,5,221.79,bogotá,Orinoquía
258,"PORTO NOVO, Apartamento en Venta en Marbella, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/porto-novo-apartamentos-en-venta-en-marbella-cartagena/7766182,1044964000,3,2,109.37,cartagena,Caribe
259,"Country Masái, Apartamento en Venta en Bosques molinos, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/country-masai-apartamentos-en-venta-en-bosques-molinos-floridablanca/4036713,501147000,3,2,76.5,floridablanca,desconocido
260,"Ciudad del Parque Acandí, Apartamento en Venta en Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-del-parque-acandi-apartamentos-en-venta-en-soledad/15017219,189800000,2,2,59.89,soledad,desconocido
261,"SAONA, Apartamento en Venta en Ciudad jardin, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/saona-apartamentos-en-venta-en-ciudad-jardin-cali/4990436,729523000,2,2,88.97,cali,Amazonía
262,"ASTORIA, Apartamento en Venta en La Selva, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/astoria-apartamentos-en-venta-en-la-selva-cali/15017249,431886000,2,2,66.17,cali,Amazonía
263,"RESERVA DEL MAR BELLO HORIZONTE 2, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-del-mar-bello-horizonte-2-apartamentos-en-venta-en-pozos-colorados-santa-marta/10226587,499999000,1,1,37,santa marta,Caribe
264,"VALLE ALTO, Apartamento en Venta en Las Palmas, Ricaurte",https://www.fincaraiz.com.co/proyectos-vivienda/valle-alto-apartamentos-en-venta-en-las-palmas-ricaurte/10205232,202772700,2,1,52,ricaurte,desconocido
265,"TORRELADERA BOSQUE RESERVADO ETAPA 2, Apartamento en Venta en Suba cerros, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/torreladera-bosque-reservado-etapa-2-apartamentos-en-venta-en-suba-cerros-bogota/5497703,1650000000,4,5,165,bogotá,Orinoquía
266,"COSTANERA, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/costanera-apartamentos-en-venta-en-miramar-barranquilla/15016929,1736219000,3,3,148.14,barranquilla,Caribe
267,"NOGAL, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nogal-apartamentos-en-venta-en-lagos-de-torca-bogota/5438244,678700000,3,3,113,bogotá,Orinoquía
268,"LAGOS DE IRAKA CASAS DE CAMPO, Casa Campestre en Venta en Vía El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/lagos-de-iraka-casas-de-campo-casas-campestres-en-venta-en-via-el-caimo-armenia/10549323,1143150000,3,4,181.35,armenia,Andina
269,"POSEIDON APARTASUITES, Apartamento en Venta en Gaira mar, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/poseidon-apartasuites-apartamentos-en-venta-en-rodadero-santa-marta/7823942,270084955,1,1,35,santa marta,Caribe
270,"CASTELLANA 51, Apartamento en Venta en Buenavista, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/castellana-51-apartamentos-en-venta-en-buenavista-barranquilla/6450550,422252000,2,2,62.5,barranquilla,Caribe
271,"POZO GRANDE, Apartamento en Venta en Cj torres de tejares del libertador, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/pozo-grande-apartamentos-en-venta-en-ub-sierradentro-reservado-santa-marta/6765347,208500000,3,2,63.24,santa marta,Caribe
272,"SAN PABLO, Apartamento en Venta en Chapinero, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/san-pablo-apartamentos-en-venta-en-comuneros-bucaramanga/2322298,123951005,1,1,34.1,bucaramanga,Andina
273,"ALTOS DE LA HACIENDA, Apartamento en Venta en Ladrilleras, Calarcá",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-la-hacienda-apartamentos-en-venta-en-antonio-nariño-calarca/10872561,146523000,1,1,28.73,calarcá,desconocido
274,"CANTARES DE RIACHUELOS, Apartamento en Venta en Carmelo, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/cantares-de-riachuelos-apartamentos-en-venta-en-carmelo-bello/15017513,313635000,3,2,65,bello,desconocido
275,"NEW BOSTON TOWERS, Apartamento en Venta en Boston, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/new-boston-towers-apartamentos-en-venta-en-boston-barranquilla/3780498,463290097,3,3,83.39,barranquilla,Caribe
276,"TORRE 11 APARTAMENTOS, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/torre-11-apartamentos-apartamentos-en-venta-en-la-castellana-armenia/10341199,175200000,1,1,35.04,armenia,Andina
277,"LAGOS DE IRAKA SUITES, Apartamento en Venta en Vía El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/lagos-de-iraka-suites-apartamentos-en-venta-en-via-el-caimo-armenia/1000257,791711900,2,3,100.09,armenia,Andina
278,"Menta Apartamentos, Apartamento en Venta en Las Lomitas, Sabaneta",https://www.fincaraiz.com.co/proyectos-vivienda/menta-apartamentos-apartamentos-en-venta-en-las-lomitas-sabaneta/5399310,556348152,2,2,65.4,sabaneta,desconocido
279,"TORRE ESTACIÓN, Apartamento en Venta en San victorino, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/torre-estacion-apartamentos-en-venta-en-san-victorino-bogota/4537129,372300000,2,2,64.71,bogotá,Orinoquía
280,"MIRAMONTE, Apartamento en Venta en Monserrate, Santa rosa de cabal",https://www.fincaraiz.com.co/proyectos-vivienda/miramonte-apartamentos-en-venta-en-santa-rosa-de-cabal/10644425,312590000,2,2,68,no especifica,desconocido
281,"C2-65, Apartaestudio en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/c265-apartaestudios-en-venta-en-los-rosales-bogota/15017263,334435000,1,1,31.7,bogotá,Orinoquía
282,"PLAYA ESCONDIDA, Apartamento en Venta en La boquilla, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/playa-escondida-apartamentos-en-venta-en-la-boquilla-cartagena/10966619,706000000,1,2,58.5,cartagena,Caribe
283,"VIVOPARK, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/vivopark-apartamentos-en-venta-en-fontibon-bogota/10481109,227290000,1,1,44.32,bogotá,Orinoquía
284,"URBANIA TERRA, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/urbania-terra-apartamentos-en-venta-en-fontibon-bogota/15017038,249820000,3,2,45.42,bogotá,Orinoquía
285,"LA RESERVA CAMPESTRE, Lote en Venta en San luis, Tubará",https://www.fincaraiz.com.co/proyectos-vivienda/la-reserva-campestre-lotes-en-venta-en-tubara/15017501,135000000,0,0,180,tubará,desconocido
286,"IBIS, Apartamento en Venta en Alameda del Rio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/ibis-apartamentos-en-venta-en-alameda-del-rio-barranquilla/15016715,234000000,2,1,50,barranquilla,Caribe
287,"El Castell Iberia Reservado1, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-castell-iberia-reservado1-apartamentos-en-venta-en-nueva-castilla-bogota/10079906,230600000,1,1,34.68,bogotá,Orinoquía
288,"MONTEVEDRA CLUB RESIDENCIAL, Apartamento en Venta en Galicia, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/montevedra-club-residencial-apartamentos-en-venta-en-galicia-pereira/7836752,405278821,3,2,65.5,pereira,Andina
289,"MIRAMONT PARK, Apartamento en Venta en Santa teresa, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/miramont-park-apartamentos-en-venta-en-zona-norte-bogota/1587448,470000000,2,2,59.5,bogotá,Orinoquía
290,"TORRE MONTANA, Apartamento en Venta en Hoyo grande, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/torre-montana-apartamentos-en-venta-en-hoyo-grande-piedecuesta/15017385,148000000,1,1,35.59,piedecuesta,desconocido
291,"BELO HORIZONTE, Apartamento en Venta en Urbanizacion urapanes, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/belo-horizonte-apartamentos-en-venta-en-la-primavera/7768596,179400000,2,1,48,bello,desconocido
292,"PARQUE COMERCIAL LA VEGA, Apartamento en Venta en La vega",https://www.fincaraiz.com.co/proyectos-vivienda/parque-comercial-la-vega-apartamentos-en-venta-en-la-vega/15016893,244334000,1,1,33.07,la vega,desconocido
293,"URBANA 30, Apartamento en Venta en Paloquemao, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/urbana-30-apartamentos-en-venta-en-paloquemao-bogota/5893098,182000000,1,1,22,bogotá,Orinoquía
294,"CENTRIKO, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/centriko-apartamentos-en-venta-en-hayuelos-bogota/7887828,532595000,3,2,62.62,bogotá,Orinoquía
295,"CEDRO, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cedro-apartamentos-en-venta-en-lagos-de-torca-bogota/6516084,635000000,3,2,79,bogotá,Orinoquía
296,"BUENOS AIRES RESERVADO, Apartamento en Venta en El recreo, La mesa",https://www.fincaraiz.com.co/proyectos-vivienda/buenos-aires-reservado-apartamentos-en-venta-en-el-recreo-la-mesa/10081109,293918300,2,2,52.5,la mesa,desconocido
297,Apartaestudio en venta,https://www.fincaraiz.com.co/proyectos-vivienda/alcantara-condominio-apartamentos-en-venta-en-aldea-alta-giron/6834599,147521998,1,1,30.8,venta,desconocido
298,"GINGER, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/ginger-apartamentos-en-venta-en-providencia-cartagena/6914914,340000000,2,2,77,cartagena,Caribe
299,"RESERVA DEL MAR PUERTO GAIRA, Apartamento en Venta en Rodadero, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-del-mar-puerto-gaira-apartamentos-en-venta-en-rodadero-y-gaira-santa-marta/10377715,451000000,1,1,36,santa marta,Caribe
300,"XUA Apartamentos, Apartamento en Venta en Rodadero sur, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/xua-apartamentos-apartamentos-en-venta-en-rodadero-sur-santa-marta/10249639,303566663,1,1,32.14,santa marta,Caribe
301,"SUNSET BOULEVARD APARTAMENTOS, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/sunset-boulevard-apartamentos-apartamentos-en-venta-en-portal-de-genoves-barranquilla/10174730,658633727,2,3,93,barranquilla,Caribe
302,"ALPHA TOWER, Apartamento en Venta en Antonia santos centro, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/alpha-tower-apartamentos-en-venta-en-antonia-santos-centro-bucaramanga/6834506,308357000,3,2,62.93,bucaramanga,Andina
303,"JARDINES DE FONTANAR, Apartamento en Venta en Hacienda Fontanar, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/jardines-de-fontanar-apartamentos-en-venta-en-hacienda-fontanar-cajica/10054779,530000000,2,2,72,cajicá,desconocido
304,"EL PUERTO, Apartamento en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-puerto-apartamentos-en-venta-en-la-felicidad-bogota/15017496,773600000,1,1,48,bogotá,Orinoquía
305,"ARTEK MAR, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/artek-mar-apartamentos-en-venta-en-villa-campestre-barranquilla/10134280,449000000,2,2,76.86,barranquilla,Caribe
306,"Aquanova, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/aquanova-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/7055721,207540000,3,2,46.99,barranquilla,Caribe
307,"VERONA, Apartamento en Venta en Ilarco, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/verona-apartamentos-en-venta-en-ilarco-bogota/10379685,426000000,1,1,32,bogotá,Orinoquía
308,"PALLADIO, Apartamento en Venta en Pie de popa toril, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/palladio-apartamentos-en-venta-en-pie-de-popa-toril-cartagena/5438485,515000000,1,2,73,cartagena,Caribe
309,"Riverblue, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/riverblue-apartamentos-en-venta-en-riomar-barranquilla/10565926,230600000,2,2,51.59,barranquilla,Caribe
310,"RESERVA DEL MAR BELLO HORIZONTE, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-del-mar-bello-horizonte-apartamentos-en-venta-en-zuana-santa-marta/6943824,458999990,1,1,35,santa marta,Caribe
311,"COROZO, Apartamento en Venta en Estadio, Soledad",https://www.fincaraiz.com.co/proyectos-vivienda/corozo-apartamentos-en-venta-en-estadio-soledad/10211418,172750000,2,1,43.7,soledad,desconocido
312,"PINOT, Apartamento en Venta en Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/pinot-apartamentos-en-venta-en-envigado/15017452,1148157500,2,3,87.35,envigado,desconocido
313,"COLINA DEL HATO, Apartamento en Venta en Ruitoque, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/colina-del-hato-apartamentos-en-venta-en-ruitoque-piedecuesta/15017201,528658000,3,3,92.69,piedecuesta,desconocido
314,"ECOCIUDAD GALICIA, Apartamento en Venta en El congal, Circasia",https://www.fincaraiz.com.co/proyectos-vivienda/ecociudad-galicia-apartamentos-en-venta-en-via-circasia-circasia/10651208,180000000,3,1,51.47,circasia,desconocido
315,"NAVARRA, Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/navarra-apartamentos-en-venta-en-engativa-bogota/15016976,850900000,3,2,83,bogotá,Orinoquía
316,"CORAL, Apartamento en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/coral-apartamentos-en-venta-en-la-felicidad-bogota/7709437,464100000,1,1,50,bogotá,Orinoquía
317,"ATELIER 68, Apartaestudio en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/atelier-68-apartaestudios-en-venta-en-chapinero-bogota/10816288,223000000,1,1,21,bogotá,Orinoquía
318,"VITA 219, Apartamento en Venta en Rodadero sur, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/vita-219-apartamentos-en-venta-en-rodadero-santa-marta/6974630,383286000,1,1,37.07,santa marta,Caribe
319,"Abadía San Rafael, Apartamento en Venta en Algarra iii, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/abadia-san-rafael-apartamentos-en-venta-en-algarra-iii-zipaquira/15017186,195000000,2,2,53.88,zipaquirá,desconocido
320,"El Campo, Apartamento en Venta en Porvenir, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/el-campo-apartamentos-en-venta-en-porvenir-bogota/15017184,192173000,1,2,54.08,bogotá,Orinoquía
321,"FONTANA 7, Apartamento en Venta en La Prosperidad, Madrid",https://www.fincaraiz.com.co/proyectos-vivienda/fontana-7-apartamentos-en-venta-en-la-prosperidad-madrid/10090345,225000000,3,2,58.2,madrid,desconocido
322,"VIVARIUM CONJUNTO RESIDENCIAL, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/vivarium-conjunto-residencial-apartamentos-en-venta-en-avenida-centenario-armenia/6727636,576000000,3,2,94.61,armenia,Andina
323,"BALI, Apartamento en Venta en Providencia, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/bali-apartamentos-en-venta-en-providencia-cartagena/10147006,187752500,2,1,51,cartagena,Caribe
324,"ALTA KONDINA, Apartamento en Venta en Condina, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/alta-kondina-apartamentos-en-venta-en-condina-pereira/15017550,615400000,2,2,79,pereira,Andina
325,"RESERVA DE BELLAVISTA, Apartamento en Venta en El ensueno, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-bellavista-apartamentos-en-venta-en-madelena-bogota/15017532,232999000,3,2,44,bogotá,Orinoquía
326,"AREWA, Apartamento en Venta en Rodadero y Gaira, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/arewa-apartamentos-en-venta-en-rodadero-y-gaira-santa-marta/7808398,385200000,1,1,36,santa marta,Caribe
327,"BOSQUE MASARYK, Lote en Venta en Ruitoque Bajo, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-masaryk-lotes-en-venta-en-ruitoque-bajo-floridablanca/15017426,661000000,0,0,640,floridablanca,desconocido
328,"CONDOMINIO CAMPESTRE  LAS BRISAS, Lote en Venta en Condina, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/condominio-campestre-las-brisas-lotes-en-venta-en-condina-pereira/4853308,250000000,0,0,1,pereira,Andina
329,"COUNTRY RESERVADO, Apartamento en Venta en Los cardonales, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/country-reservado-apartamentos-en-venta-en-los-cardonales-santa-marta/10170071,291990000,2,2,51,santa marta,Caribe
330,"Puerta Dorada Marisma, Apartamento en Venta en Comuna 1, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-marisma-apartamentos-en-venta-en-comuna-1-barranquilla/15017209,215148000,1,2,40.74,barranquilla,Caribe
331,"HACIENDA ANDAHUAYLAS CONDOMINIO CAMPESTRE, Casa en Venta en Combia, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-andahuaylas-condominio-campestre-casas-en-venta-en-sector-plaza-de-bolivar-pereira/2657513,808800000,2,2,117,pereira,Andina
332,"Ciudad Tierrabuena Terracota, Apartamento en Venta en Guatiguara, Piedecuesta",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-tierrabuena-terracota-apartamentos-en-venta-en-guatiguara-piedecuesta/15017199,230600000,2,2,55.05,piedecuesta,desconocido
333,"Puerta Dorada Arrecife, Apartamento en Venta en Comuna 1, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-arrecife-apartamentos-en-venta-en-comuna-1-barranquilla/4713998,188500000,3,2,64.01,barranquilla,Caribe
334,"SAMAN, Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/saman-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345713,623000000,1,2,56,medellín,Andina
335,"ORQUIDEA, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/orquidea-apartamentos-en-venta-en-lagos-de-torca-bogota/6382440,530000000,2,2,65,bogotá,Orinoquía
336,"PRIMAVERA, Apartamento en Venta en Campo verde, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/primavera-apartamentos-en-venta-en-campo-verde-bogota/7425177,208600000,3,2,54.9,bogotá,Orinoquía
337,"Fresno, Apartamento en Venta en Ciudad verde, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/fresno-apartamentos-en-venta-en-ciudad-verde-soacha/15017188,195000000,2,2,62.4,soacha,desconocido
338,"ICONIK ELITE, Apartamento en Venta en La flora, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/iconik-elite-apartamentos-en-venta-en-la-flora-cali/7345335,350000000,2,2,58.11,cali,Amazonía
339,"SAN MARCO, Apartamento en Venta en La boquilla, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/san-marco-apartamentos-en-venta-en-la-boquilla-cartagena/10806437,480000000,1,2,60,cartagena,Caribe
340,"PLAYA SANTUA MAR, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/playa-santua-mar-apartamentos-en-venta-en-pozos-colorados-santa-marta/15017051,1053000000,1,2,57.5,santa marta,Caribe
341,"Inter 7-33, Apartamento en Venta en Centro Internacional, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/inter-733-apartamentos-en-venta-en-centro-internacional-bogota/15017536,490000000,1,2,43,bogotá,Orinoquía
342,"ICONIK68, Apartamento en Venta en Américas Central, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/iconik68-apartamentos-en-venta-en-americas-central-bogota/5275226,448900000,2,2,60.78,bogotá,Orinoquía
343,"CIPRÉS DE LA FLORIDA, Apartamento en Venta en Gran granada, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cipres-de-la-florida-apartamentos-en-venta-en-gran-granada-bogota/15017124,470000000,3,2,78,bogotá,Orinoquía
344,"Distrito KB, Apartamento en Venta en Palermo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/distrito-kb-apartamentos-en-venta-en-palermo-bogota/15017509,265000000,1,1,23.85,bogotá,Orinoquía
345,"MONTEBONITO ALTO - Última etapa, Apartamento en Venta en Ub. montebonito et. ii, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/montebonito-alto-ultima-etapa-apartamentos-en-venta-en-ub-montebonito-et-ii-dosquebradas/15017548,273870000,3,2,50.91,dosquebradas,desconocido
346,"RIVERAS DEL OTÚN CONJUNTO RESIDENCIAL, Apartamento en Venta en La badea, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/riveras-del-otun-conjunto-residencial-apartamentos-en-venta-en-pedregales-dosquebradas/6649610,128115000,1,1,29.35,dosquebradas,desconocido
347,"VALLE DE VADUZ CONDOMINIO, Lote en Venta en Guayanas, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/valle-de-vaduz-condominio-lotes-en-venta-en-guayanas-floridablanca/6510413,789184000,0,0,896.8,floridablanca,desconocido
348,Apartaestudio en venta,https://www.fincaraiz.com.co/proyectos-vivienda/urban-72-apartamentos-en-venta-en-san-felipe-bogota/10797558,234900000,1,1,20.71,venta,desconocido
349,"Alcaparro, Apartamento en Venta en Ciudad verde, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/alcaparro-apartamentos-en-venta-en-ciudad-verde-soacha/15017189,195000000,2,2,53.95,soacha,desconocido
