,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
54,"LA VIDA ES BELLA GRATITUD, Apartamento en Venta en Comuna 10, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/la-vida-es-bella-gratitud-apartamentos-en-venta-en-machado-bello/7428695,342086560,3,2,72.18,bello,desconocido
55,"SENZA APARTAMENTOS, Apartamento en Venta en Santa maria, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/senza-apartamentos-apartamentos-en-venta-en-santa-maria-barranquilla/15017357,176836600,2,2,50.5,barranquilla,Caribe
56,"CENTURY SUITES, Apartamento en Venta en La pradera, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/century-suites-apartamentos-en-venta-en-la-pradera-dosquebradas/15017135,265803259,3,2,47.63,dosquebradas,desconocido
57,"ENTREVILLAS, Apartamento en Venta en Viviendas del Sur, Itaguí",https://www.fincaraiz.com.co/proyectos-vivienda/entrevillas-apartamentos-en-venta-en-viviendas-del-sur-itagui/15016969,459900000,2,2,61,itaguí,desconocido
58,"RIO, Apartamento en Venta en Camino Verde, Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/rio-apartamentos-en-venta-en-camino-verde-envigado/7040364,653443000,3,2,87.91,envigado,desconocido
59,"SOLE, Apartamento en Venta en Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/sole-apartamentos-en-venta-en-lagos-de-torca-bogota/15017297,680597400,3,2,86.59,bogotá,Orinoquía
60,"CASTELÓ, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/castelo-apartamentos-en-venta-en-nueva-castilla-bogota/15017471,391400173,3,2,59,bogotá,Orinoquía
61,"DUVENTTO, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/duventto-apartamentos-en-venta-en-riomar-barranquilla/15017218,744846000,2,3,75.34,barranquilla,Caribe
62,"RIVIERA VERDE ETAPA 2, Casa en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-2-casas-en-venta-en-galicia-pereira/10122326,600400000,3,3,83.81,pereira,Andina
63,"CÚSPIDE APARTAMENTOS, Apartamento en Venta en Molinos ii sector, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/cuspide-apartamentos-apartamentos-en-venta-en-molinos-ii-sector-bogota/15017354,207830000,2,2,47.28,bogotá,Orinoquía
64,"CENTURY MALL, Local en Venta en Frailes, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/century-mall-locales-en-venta-en-frailes-dosquebradas/15017136,174352500,0,0,21.7,dosquebradas,desconocido
65,"MISSONI, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/missoni-apartamentos-en-venta-en-riomar-barranquilla/15017054,372998415,1,1,57.52,barranquilla,Caribe
66,"RIVERBAY, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/riverbay-apartamentos-en-venta-en-lago-alto-barranquilla/10183466,397774000,2,2,56.79,barranquilla,Caribe
67,"LAGO FORET, Apartamento en Venta en Buenavista, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/lago-foret-apartamentos-en-venta-en-buenavista-barranquilla/10067978,844272000,2,3,83,barranquilla,Caribe
68,"TORRES DE PANORAMA, Apartamento en Venta en Villa panorama, Paipa",https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-panorama-apartamentos-en-venta-en-paipa/5953965,192172500,3,2,62,paipa,desconocido
69,"PARQUES DE SURAMERICA, Apartamento en Venta en Itaguí, La estrella",https://www.fincaraiz.com.co/proyectos-vivienda/parques-de-suramerica-apartamentos-en-venta-en-suramerica-la-estrella/15017256,550553000,2,2,63.22,la estrella,desconocido
70,"DISTRITO VERA, Apartamento en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/distrito-vera-apartamentos-en-venta-en-ciudad-del-rio-medellin/15017050,546605560,1,1,49.48,medellín,Andina
