,real_price,predict_price,porcentaje_error
157,327325883,321660601.1023885,0.017307772442827257
158,467034000,306426749.2921588,0.34388770562280524
159,640300000,453903427.64516264,0.291108187341617
160,316469000,309225324.4338049,0.02288905253340792
161,249538000,222057503.47264886,0.11012549802976357
162,181000000,242319942.99153304,0.3387842154228345
163,508727541,461482217.01181394,0.09286960146745045
164,1230000000,1589789739.154395,0.29251198305235376
165,475690000,479185470.48079175,0.007348210979402021
166,213525000,293123997.3372511,0.3727853756574224
167,249535991,227678599.73062366,0.08759213924125413
168,486856063,440427782.97543126,0.09536346274190025
169,2146127400,1317070249.0344036,0.3863037911754896
170,1044964000,746203831.7021338,0.2859047472428392
171,729523000,505374385.87301326,0.30725366318400754
172,431886000,370439037.4515534,0.14227588425752766
173,499999000,390713609.25872654,0.2185712186249842
174,1650000000,1066507479.2970009,0.3536318307290904
175,1736219000,1180364184.8191693,0.3201524779885664
176,678700000,674000081.2954822,0.0069248839023395336
177,1143150000,1176720426.1311998,0.02936659767414586
178,270084955,312620547.9523617,0.1574896793209444
